model,display_name,lookback,seed,best_val_mse,best_epoch,rmse,mae,hit_ccy,hit_pair,extreme_rmse,extreme_hit,ic,sharpe
MLP,MLP,20,42,0.818092942237854,11,0.00578052643686533,0.004108875524252653,0.584873188405797,0.5516963109354414,0.01291452907025814,0.730072463768116,0.13877355538122813,4.904288332869986
MLP,MLP,20,123,0.8158698678016663,10,0.00574718602001667,0.0040691993199288845,0.5840579710144927,0.5540349143610013,0.013112783432006836,0.7309782608695652,0.14629009013443797,5.435073587470369
MLP,MLP,20,456,0.7986482977867126,10,0.005654860753566027,0.003996499348431826,0.5959239130434782,0.5591567852437418,0.012955273501574993,0.7246376811594203,0.15687909585574286,5.937693000198496
LSTM,LSTM,20,42,0.8771552443504333,48,0.00558110699057579,0.003922748379409313,0.6077898550724637,0.5607872200263505,0.013263078406453133,0.7572463768115942,0.15533267303757575,5.77089974333925
LSTM,LSTM,20,123,0.8821873068809509,46,0.005615545436739922,0.003957608714699745,0.6014492753623188,0.5576910408432147,0.013324900530278683,0.7445652173913043,0.1477828785917103,5.785257297200663
LSTM,LSTM,20,456,0.874173641204834,54,0.005668978672474623,0.003995281178504229,0.5920289855072464,0.5571805006587616,0.013304204680025578,0.7038043478260869,0.15190457816213412,5.761170972494182
GAT,GAT-StrengthGNN,20,42,0.8249117136001587,79,0.0053587607108056545,0.003773138392716646,0.6296195652173913,0.5853754940711462,0.012473936192691326,0.7735507246376812,0.2213300015527323,8.121574495162339
GAT,GAT-StrengthGNN,20,123,0.8380872011184692,41,0.005435377359390259,0.003788864705711603,0.6192934782608696,0.5814888010540185,0.01287438441067934,0.769927536231884,0.21615234414374593,8.13628403334143
GAT,GAT-StrengthGNN,20,456,0.8594459295272827,52,0.005502035841345787,0.003841039724647999,0.6169384057971015,0.5790513833992095,0.012891288846731186,0.7554347826086957,0.21118325744324942,7.737323529072269
NoGraph,NoGraphFX,20,42,0.837087094783783,76,0.005444911774247885,0.003830971894785762,0.6153079710144927,0.5812417654808959,0.012737501412630081,0.7554347826086957,0.21656441502794052,7.7694208086863314
NoGraph,NoGraphFX,20,123,0.8427028656005859,76,0.00545455701649189,0.003832280868664384,0.6142210144927536,0.5807806324110671,0.0127688217908144,0.75,0.21576094381604027,7.908808490875618
NoGraph,NoGraphFX,20,456,0.8403082489967346,75,0.005435125436633825,0.003817496122792363,0.6189311594202899,0.5802865612648221,0.012736301869153976,0.7617753623188406,0.21133053211349154,7.810124199487062
NoMacro,NoMacroFX,20,42,0.9104175567626953,48,0.005857772193849087,0.004127515014261007,0.545018115942029,0.5297595520421607,0.01381649263203144,0.6476449275362319,0.09316351313225603,4.375409659990359
NoMacro,NoMacroFX,20,123,0.9236901998519897,68,0.005871046334505081,0.004099325276911259,0.5782608695652174,0.5366930171277997,0.014281090348958969,0.667572463768116,0.09696205477370365,4.004776323739057
NoMacro,NoMacroFX,20,456,0.9342287182807922,41,0.005774327553808689,0.00404555955901742,0.5897644927536232,0.547068511198946,0.013959912583231926,0.6820652173913043,0.12779321018585296,5.161636178812711
StaticGraph,StaticGraphFX,20,42,0.7955785989761353,75,0.005212177988141775,0.003657455090433359,0.6401268115942029,0.6038208168642951,0.011892098002135754,0.8079710144927537,0.2741440630261181,10.132859249900058
StaticGraph,StaticGraphFX,20,123,0.8122034668922424,78,0.0053069982677698135,0.0037189307622611523,0.6343297101449276,0.5944664031620553,0.012226048856973648,0.7853260869565217,0.24803058849232867,9.125394975209455
StaticGraph,StaticGraphFX,20,456,0.8053769469261169,78,0.0052528963424265385,0.003709519514814019,0.6319746376811595,0.6013833992094861,0.01193222776055336,0.8016304347826086,0.27181438304653993,10.205772044351532
PureGraphFX,PureGraphFX,20,42,0.8387803435325623,29,0.005269813351333141,0.0037058682646602392,0.6396739130434783,0.6061264822134388,0.012271042913198471,0.8088768115942029,0.2853364977504505,10.861590738960196
PureGraphFX,PureGraphFX,20,123,0.780418872833252,78,0.005430954974144697,0.0038274857215583324,0.6197463768115942,0.5956851119894598,0.011995806358754635,0.7635869565217391,0.2640650938639068,9.576623731362192
PureGraphFX,PureGraphFX,20,456,0.8169520497322083,36,0.005331754684448242,0.0037451612297445536,0.640036231884058,0.604298418972332,0.012276713736355305,0.8079710144927537,0.2790156408198231,10.146237492555029
FiLMHyGraph,FiLMHyGraph,20,42,0.8045265674591064,29,0.0050518265925347805,0.0035304215271025896,0.6634963768115942,0.6184453227931489,0.011571359820663929,0.8387681159420289,0.31165871052314814,11.310735028844535
FiLMHyGraph,FiLMHyGraph,20,123,0.8033975958824158,29,0.005058302078396082,0.0035407678224146366,0.6589673913043478,0.6133399209486166,0.01163128949701786,0.8278985507246377,0.2981386376063592,10.893098066364388
FiLMHyGraph,FiLMHyGraph,20,456,0.8135525584220886,30,0.0051393271423876286,0.0035993936471641064,0.6550724637681159,0.6152173913043478,0.011800535954535007,0.8360507246376812,0.30452366718680934,11.251005561001147
Ours,Ours,20,42,0.8074051737785339,29,0.005073202773928642,0.00350974197499454,0.6561594202898551,0.6179347826086956,0.011786776594817638,0.822463768115942,0.31208551052375255,11.103930049292684
Ours,Ours,20,123,0.8226276636123657,31,0.005081383977085352,0.0035161999985575676,0.6597826086956522,0.6212121212121212,0.011751209385693073,0.8297101449275363,0.3202293765667058,11.516068676100716
Ours,Ours,20,456,0.8165867924690247,25,0.005101700779050589,0.0035471778828650713,0.657518115942029,0.619433465085639,0.011893210932612419,0.8278985507246377,0.3158336746196748,11.223855458819823

