model,display_name,lookback,rmse_mean,rmse_std,mae_mean,mae_std,hit_ccy_mean,hit_ccy_std,hit_pair_mean,hit_pair_std,extreme_rmse_mean,extreme_rmse_std,extreme_hit_mean,extreme_hit_std,ic_mean,ic_std,sharpe_mean,sharpe_std
GAT,GAT-StrengthGNN,20,0.0054320579705139,5.853890167918182e-05,0.0038010142743587494,2.902133391428589e-05,0.6219504830917875,0.005507431770758603,0.581971892841458,0.0026043076116368776,0.012746536483367285,0.00019288101487189855,0.7663043478260869,0.00782698151981624,0.21622186771324256,0.0041426826373633825,7.998394019192013,0.18470236099715143
LSTM,LSTM,20,0.005621877033263445,3.615176303524642e-05,0.003958546090871096,2.9618808683006383e-05,0.6004227053140098,0.006475164703748884,0.5585529205094423,0.0015935774363420281,0.01329739453891913,2.5694062413882014e-05,0.7352053140096618,0.022799392667455173,0.15167337659714006,0.0030865233587805546,5.7724426710113645,0.00989354095079349
MLP,MLP,20,0.0057275244034826756,5.315323987188723e-05,0.0040581913975377875,4.653301329561404e-05,0.5882850241545894,0.0054117534091003535,0.5549626701800615,0.0031155756419483454,0.012994195334613323,8.548832202273155e-05,0.7285628019323672,0.002800005584388796,0.147314247123803,0.007426947426891784,5.425684973512951,0.421937918947103
NoGraph,NoGraphFX,20,0.005444864742457867,7.932978967031246e-06,0.0038269162954141698,6.6824692203906555e-06,0.616153381642512,0.00201368743967793,0.5807696530522617,0.00039003776171126804,0.012747541690866152,1.505526965314386e-05,0.7557367149758454,0.0048120100997914314,0.21455196365249077,0.0023013919508900658,7.829451166349671,0.058522817331400294
NoMacro,NoMacroFX,20,0.005834382027387619,4.280931012580147e-05,0.004090799950063229,3.399691220728951e-05,0.5710144927536233,0.01897264771740275,0.5378403601229688,0.0071127731926086,0.014019165188074112,0.0001942436837737693,0.6657608695652174,0.01411029160090326,0.10597292603060422,0.01550700551605204,4.513940720847375,0.48233758730228704
StaticGraph,StaticGraphFX,20,0.005257357532779376,3.88385377488909e-05,0.0036953017891695104,2.7036054304656783e-05,0.6354770531400966,0.00342556874485092,0.5998902064119456,0.003962194886350506,0.012016791539887587,0.00014887146120777262,0.7983091787439612,0.009538387076649354,0.2646630115216622,0.011799293031698717,9.821342089820348,0.4930083560144472
PureGraphFX,PureGraphFX,20,0.005344174336642027,6.636937783368859e-05,0.0037595050719877086,5.067550896512881e-05,0.6331521739130435,0.009480484012942242,0.6020366710584102,0.004552814569629492,0.012181187669436136,0.0001311048240183218,0.7934782608695651,0.021139578579968957,0.27613907747806016,0.00891904771899248,10.194817320959139,0.5257090782613972
FiLMHyGraph,FiLMHyGraph,20,0.00508315193777283,3.9809740762957455e-05,0.0035568609988937774,3.037028244119188e-05,0.6591787439613527,0.003442293828271915,0.6156675450153711,0.00210843714177106,0.011667728424072266,9.704387886477203e-05,0.8342391304347826,0.004618677095645615,0.30477367177210557,0.005522376881882423,11.151612885403358,0.18441680342686895
Ours,Ours,20,0.005085429176688194,1.1980729077780052e-05,0.003524373285472393,1.6339395414493673e-05,0.6578200483091788,0.001494488969899109,0.6195267896354852,0.0013395942629714245,0.011810398971041044,6.0330325849729835e-05,0.8266908212560388,0.003079118063763773,0.3160495205700444,0.0033282208096929674,11.281284728071077,0.17308601455509923

