model,seed,lookback,gross_exposure,cost_bps,top_k,turnover_mean_daily,turnover_std_daily,cost_mean_daily,pred_nan_count,target_nan_count,target_mean,target_std,target_min,target_max,target_q01,target_q50,target_q99,sharpe,cumulative_return,terminal_wealth,cagr,volatility,sortino,mdd,ret_mean_daily,ret_std_daily,ret_min,ret_max,ret_q01,ret_q05,ret_q50,ret_q95,ret_q99,cumulative_return_pct,volatility_pct,mdd_pct,cagr_pct,diag_ls_sharpe,diag_ls_cumulative_return
GAT,42,20,1.0,0.0,3,1.3919082125603863,0.46102332077211067,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,8.121574878769604,2.4560335693924955,3.4560335693924955,0.32719969040486974,0.03494880055776249,13.36646497475584,-0.015952473896792933,0.0011263464311629084,0.002201567496519881,-0.015952473896807835,0.01665740864215574,-0.003196969798882492,-0.00196926595478241,0.0009402867629736041,0.004784576141294863,0.0074769274991316175,245.60335693924955,3.494880055776249,-1.5952473896792934,32.71996904048697,8.121574880614101,10.864450147662787
GAT,123,20,1.0,0.0,3,1.392512077294686,0.47515092251726315,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,8.136283851109846,2.3779136131213288,3.3779136131213288,0.3202913413857036,0.034240495093212565,12.484705213328924,-0.01689356971472295,0.001105517409844886,0.002156948446246853,-0.016893569714738987,0.015856846109575898,-0.0036331303902746486,-0.0020093599649650662,0.0009466452805402998,0.004576647788053375,0.007387968198939541,237.79136131213286,3.4240495093212564,-1.6893569714722951,32.029134138570356,8.136283852995907,10.337091466872552
GAT,456,20,1.0,0.0,3,1.3997584541062802,0.44458840700810154,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,7.737324176144544,2.229354308166013,3.229354308166013,0.30680621579914047,0.03467967293399961,12.659281425868917,-0.016664391470824456,0.0010647931421151617,0.0021846140497719206,-0.0166643914708402,0.01714970441147064,-0.0031952587234506304,-0.0019953817017570445,0.0009085080018849112,0.004663783831832308,0.007108781075997587,222.9354308166013,3.467967293399961,-1.6664391470824456,30.680621579914046,7.7373241779154105,9.361518323177693
GRU,42,20,1.0,0.0,3,1.1144323671497585,0.47975960184941524,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,5.462109836793964,1.2570682091198293,2.2570682091198293,0.2042049745673089,0.034138689723554806,10.001434141956269,-0.019517909700148002,0.0007399574323582765,0.0021505353107648187,-0.00691848174513628,0.0168848878092831,-0.004333958406932651,-0.002387065526181686,0.000574201135502032,0.004478760878797991,0.006494557422799214,125.70682091198293,3.4138689723554805,-1.9517909700148002,20.420497456730892,5.462109838063904,4.065569592290384
GRU,123,20,1.0,0.0,3,1.131340579710145,0.511734030418548,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,5.615702281927368,1.451054160681191,2.451054160681191,0.22708326528855993,0.03657428866342008,9.195170669249494,-0.01719249381657187,0.0008150409377263429,0.0023039636223928205,-0.015813995945791245,0.01784517549094744,-0.0043142367760689625,-0.0023725848218115663,0.0006453641423528703,0.004608582274340732,0.007069416506371151,145.1054160681191,3.657428866342008,-1.7192493816571868,22.70832652885599,5.6157022831460734,4.968469246224863
GRU,456,20,1.0,0.0,3,1.168780193236715,0.47692346380060285,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,5.454724429598112,1.3202898306594388,2.320289830659439,0.2118224357615628,0.035349541137251035,9.163213959292076,-0.02761875260540193,0.0007651666889541533,0.002226811780176514,-0.016297749908214122,0.01690122411431124,-0.004256116868734049,-0.0024849196187763786,0.0006519404814753216,0.004386333191844936,0.00700864612157602,132.0289830659439,3.5349541137251035,-2.761875260540193,21.182243576156278,5.454724430822896,4.351108442621422
LSTM,42,20,1.0,0.0,3,1.1657608695652173,0.47353575194882275,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,5.770899476737074,1.4057547761801823,2.4057547761801823,0.22186933683983456,0.034841605559220175,8.875386545414132,-0.019609896179204313,0.0007978865209935841,0.0021948148463310025,-0.0160561063651888,0.016701103294811524,-0.00418688482693445,-0.0025394912780029692,0.0006646779462850341,0.004425520156898224,0.006565376926446336,140.57547761801823,3.4841605559220175,-1.9609896179204314,22.186933683983455,5.77089947805174,4.753113118541451
LSTM,123,20,1.0,0.0,3,1.1923309178743962,0.47027654610008907,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,5.7852572700534415,1.4110141324299157,2.4110141324299157,0.22247855301545627,0.03484126159861698,10.869189003231511,-0.023954087744698874,0.0007998637379413993,0.0021947931788496486,-0.007524536340497433,0.016701103294811524,-0.003908150830538942,-0.0022981987276580185,0.0006046150908029327,0.0044733156239696314,0.007343676694436,141.10141324299155,3.484126159861698,-2.3954087744698875,22.247855301545627,5.78525727137139,4.778366456934102
LSTM,456,20,1.0,0.0,3,1.1871980676328502,0.4994014342245931,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,5.761170432947619,1.3802575921789146,2.3802575921789146,0.2189012218683679,0.03447564074594398,11.562093823793559,-0.019075447356961095,0.0007881747703272089,0.002171761230032693,-0.005174905682603518,0.016701103294811524,-0.0039007424443843774,-0.00253819853872604,0.0006213594218327972,0.00428592785873055,0.007174480577232315,138.02575921789148,3.447564074594398,-1.9075447356961095,21.89012218683679,5.7611704342740016,4.63262701151847
MLP,42,20,1.0,0.0,3,1.4166666666666667,0.4812386221654335,0.0,0,0,-8.48203787898973e-05,0.006002131787413445,-0.09879419207572937,0.09815868735313416,-0.015709616728127002,0.0,0.016144110281020415,4.904288546825464,1.197795634089149,2.197795634089149,0.1969122722135106,0.036801441661972925,8.284746647188385,-0.01859388022354437,0.0007162098763868225,0.0023182729162912357,-0.016091989561876588,0.016619125924383603,-0.004415484134030217,-0.002513361448291107,0.0005537742072192486,0.004653637872252142,0.007146621752799548,119.7795634089149,3.6801441661972927,-1.859388022354437,19.69122722135106,4.904288547883211,3.799216467625935
