regime,n_obs,D_F_mean,D_F_median,D_MA_mean,D_MA_median,edge_turnover_mean,edge_turnover_median,D_F_ratio_over_normal_mean,D_MA_ratio_over_normal_mean,edge_turnover_ratio_over_normal_mean
Commodity_basket_shock,58,0.7036997049019255,0.7062346339225769,0.03180807966995856,0.02983573731034994,0.3556330556220465,0.35,1.0971337454859877,1.2040628044108603,1.2009528487600574
Curve_shock,165,0.7006606677885759,0.6938514113426208,0.031182960594764376,0.02931753545999527,0.34102874620109197,0.35,1.0923956020028882,1.1803995517222705,1.151634916340669
Dollar_factor_shock,105,0.7077904109621331,0.7118694186210632,0.032461601693094484,0.03063427284359932,0.3707868933135257,0.3902439024390244,1.1035115393521133,1.2288012220734796,1.252126507275566
FX_abs_move_shock,101,0.7312877132640322,0.7250255346298218,0.03474475421463278,0.032577406615018845,0.39561913793582243,0.3902439024390244,1.14014603429892,1.3152276601516482,1.3359836022469287
FX_dispersion_shock,66,0.7584929640376659,0.7651667892932892,0.03734809929631989,0.03574010357260704,0.4013264881607943,0.3902439024390244,1.182561568183963,1.4137746649513718,1.355257003307925
Oil_shock_top10,108,0.6885834492363587,0.6906765103340149,0.030362635447764425,0.028331798501312733,0.33516362131430477,0.35,1.0735660871786727,1.1493469698853864,1.1318287191107737
SP500_drawdown_shock,124,0.6918962577192653,0.6902799308300018,0.030666109343949376,0.028830508701503277,0.3482620603865045,0.32884615384615384,1.0787310658671825,1.1608346684291955,1.1760614119647983
US10Y_down_shock,161,0.6538380105858264,0.6450514793395996,0.02762778277902268,0.026003610342741013,0.3197437784401531,0.3076923076923077,1.019394694211377,1.0458218778916766,1.079756776038008
US10Y_up_shock,184,0.6811900908208411,0.6719349324703217,0.029478765900105074,0.027310888282954693,0.33014740003167536,0.3076923076923077,1.0620391489781407,1.115888978792224,1.1148892216592574
US2Y_down_shock,249,0.6454544212803783,0.6413668990135193,0.0268549782618596,0.025446821004152298,0.3036580607032818,0.3076923076923077,1.0063238933125982,1.0165681416129795,1.0254362109638309
US2Y_shock_top10,322,0.6591646069232722,0.6483379900455475,0.02755672026567323,0.026223563589155674,0.3067911469146739,0.3076923076923077,1.0276993567679833,1.0431318780551624,1.03601646707754
US2Y_up_shock,308,0.6696593470194123,0.663702130317688,0.028539979116773452,0.026771397329866886,0.31948112563121883,0.3076923076923077,1.0440616394709226,1.0803521510801852,1.0788698122585227
VIX_top10,82,0.746306725209806,0.7387624680995941,0.03501305626080621,0.03304198570549488,0.3971636849370422,0.3902439024390244,1.1635620805396416,1.3253839637542786,1.3411994506947458
composite_macro_shock_top10,103,0.6878273864683596,0.6882503628730774,0.03009457160375144,0.02838670276105404,0.3283482326494852,0.35,1.0723873145137146,1.139199683185515,1.1088135344899135
normal,668,0.6413982869418684,0.6405753493309021,0.026417292812494088,0.024807702749967575,0.29612574381086193,0.3076923076923077,0.9999999999984409,0.9999999999621461,0.9999999999966231
