rank,date,D_F,is_vix_stress,is_us2y_shock,is_oil_shock,is_composite_stress,is_any_stress,days_to_nearest_stress
1,2022-08-26,1.332005262374878,False,False,False,False,False,2
2,2022-02-23,1.255860686302185,True,False,False,False,True,0
3,2025-04-01,1.1945847272872925,False,False,False,False,False,2
4,2022-09-27,1.1618402004241943,True,False,False,False,True,0
5,2022-03-28,1.1553391218185425,False,False,True,False,True,0
6,2023-11-27,1.113518238067627,False,True,False,False,True,0
7,2022-05-02,1.1023883819580078,True,False,False,False,True,0
8,2024-02-08,1.1012983322143555,False,False,False,False,False,2
9,2023-09-26,1.0906156301498413,False,False,False,False,False,6
10,2022-06-10,1.0813568830490112,False,True,False,True,True,0
11,2022-05-26,1.0667896270751953,False,False,False,False,False,2
12,2025-05-26,1.0627621412277222,False,False,False,False,False,1
13,2023-05-26,1.059719204902649,False,False,False,False,False,1
14,2025-04-04,1.0458760261535645,True,False,True,True,True,0
15,2021-11-25,1.043215036392212,False,False,False,False,False,1
16,2022-04-26,1.042819857597351,True,True,False,True,True,0
17,2024-09-25,1.0398656129837036,False,False,False,False,False,1
18,2024-04-25,1.0344736576080322,False,True,False,False,True,0
19,2022-11-25,1.031805157661438,False,False,False,False,False,2
20,2025-05-08,1.0208683013916016,False,True,False,False,True,0
21,2022-09-19,1.0089877843856812,False,True,False,False,True,0
22,2022-03-03,1.004183053970337,True,False,False,False,True,0
23,2022-11-01,1.0022790431976318,False,False,False,False,False,1
24,2022-10-07,0.9971955418586731,True,True,True,False,True,0
25,2022-12-13,0.9945651292800903,False,True,False,True,True,0
26,2022-01-31,0.9894555807113647,False,False,False,False,False,4
27,2022-12-14,0.9858732223510742,False,False,False,False,False,1
28,2024-04-05,0.9813753366470337,False,True,False,False,True,0
29,2022-07-26,0.9806917309761047,False,False,False,False,False,1
30,2022-08-24,0.9795632362365723,False,True,False,False,True,0
