model,display_name,lookback,seed,regime,n_obs,rmse,mae,hit_ccy,hit_pair,extreme_rmse,extreme_hit
LSTM,LSTM,20,42,FX_move_top10,89,0.011310504994269298,0.007983789417970032,0.6932584269662921,0.6134831460674157,0.025990302562883153,0.7415730337078652
LSTM,LSTM,20,42,Oil_shock_top10,108,0.007346669058555736,0.0046137935208060265,0.5833333333333334,0.5496632996632996,0.01912985659844163,0.7222222222222222
LSTM,LSTM,20,42,US2Y_shock_top10,322,0.005755094233482528,0.00409720526474842,0.6149068322981367,0.5555053642010164,0.013499668899705157,0.7546583850931677
LSTM,LSTM,20,42,VIX_top10,82,0.007378335843871315,0.005335954601197799,0.5865853658536585,0.5421286031042128,0.017131112297185114,0.6707317073170732
LSTM,LSTM,20,42,all_test,1104,0.00558110718806632,0.00392274827251168,0.6077898550724637,0.5607872200263505,0.013263078588205105,0.7572463768115942
LSTM,LSTM,20,42,composite_macro_shock_top10,103,0.006435149031541342,0.004497063960099288,0.5310679611650485,0.5085613415710503,0.015296766364747713,0.6310679611650486
LSTM,LSTM,20,42,normal,668,0.004699503644019099,0.0034852588155421973,0.6029940119760479,0.560506260206859,0.010423175748733499,0.7440119760479041
LSTM,LSTM,20,123,FX_move_top10,89,0.011326744845058485,0.00807993160450566,0.6932584269662921,0.6155260469867212,0.025873630386506898,0.7752808988764045
LSTM,LSTM,20,123,Oil_shock_top10,108,0.0074069581795814885,0.004665523406810769,0.5675925925925925,0.5397306397306397,0.019201812166427037,0.7222222222222222
LSTM,LSTM,20,123,US2Y_shock_top10,322,0.0057848668322655495,0.0041256905358018825,0.6009316770186336,0.5453416149068323,0.013540608274017199,0.7453416149068323
LSTM,LSTM,20,123,VIX_top10,82,0.007436136773341202,0.0054205284462912505,0.5439024390243903,0.5310421286031042,0.017047893477256194,0.6097560975609756
LSTM,LSTM,20,123,all_test,1104,0.005615545306032066,0.003957608448574058,0.6014492753623188,0.5576910408432147,0.013324900568219682,0.7445652173913043
LSTM,LSTM,20,123,composite_macro_shock_top10,103,0.00635997459610744,0.004431543675843289,0.5320388349514563,0.5087378640776699,0.015176867157339567,0.5922330097087378
LSTM,LSTM,20,123,normal,668,0.004734879895218316,0.003517297804315225,0.599251497005988,0.5601252041371801,0.010519235310270313,0.7380239520958084
LSTM,LSTM,20,456,FX_move_top10,89,0.011342033644475072,0.00804585510740345,0.6573033707865169,0.6024514811031665,0.025676882824232476,0.7528089887640449
LSTM,LSTM,20,456,Oil_shock_top10,108,0.007391109013522238,0.004635651359893911,0.5888888888888889,0.5562289562289562,0.01908051910871987,0.75
LSTM,LSTM,20,456,US2Y_shock_top10,322,0.005788368360776217,0.004132382557096597,0.59472049689441,0.5479954827780915,0.01333526019580494,0.7236024844720497
LSTM,LSTM,20,456,VIX_top10,82,0.007487957301923716,0.005429940057981029,0.5585365853658537,0.5563192904656319,0.016876789566443517,0.6951219512195121
LSTM,LSTM,20,456,all_test,1104,0.0056689785081066825,0.0039952814910121275,0.5920289855072464,0.5571805006587616,0.013304205536781757,0.7038043478260869
LSTM,LSTM,20,456,composite_macro_shock_top10,103,0.006621806799415184,0.004627166030777782,0.5155339805825243,0.5069726390114739,0.0155096686845515,0.6504854368932039
LSTM,LSTM,20,456,normal,668,0.004822375535107606,0.0035695218508525377,0.5881736526946107,0.5575666848121938,0.010659701976998634,0.6646706586826348
MLP,MLP,20,42,FX_move_top10,89,0.011119655671332915,0.007714179711698573,0.6842696629213483,0.6136874361593463,0.025640697291610243,0.7640449438202247
MLP,MLP,20,42,Oil_shock_top10,108,0.007792900799713751,0.004825707945155534,0.5611111111111111,0.5430976430976431,0.019879780190006937,0.6574074074074074
MLP,MLP,20,42,US2Y_shock_top10,322,0.00598165753245069,0.004344542693392247,0.5760869565217391,0.5374364765669114,0.013053317273889541,0.7329192546583851
MLP,MLP,20,42,VIX_top10,82,0.007340663188137316,0.0053541038813597055,0.598780487804878,0.5576496674057649,0.016272551991926072,0.7317073170731707
