model,regime,n_obs_mean,rmse_mean,rmse_std,mae_mean,mae_std,hit_ccy_mean,hit_ccy_std,hit_pair_mean,hit_pair_std,extreme_rmse_mean,extreme_rmse_std,extreme_hit_mean,extreme_hit_std
LSTM,FX_move_top10,89.0,0.011326427827934285,1.2873469380662725e-05,0.00803652537662638,3.980044317376636e-05,0.6812734082397004,0.016949376028441567,0.6104868913857678,0.005742776613498967,0.02584693859120751,0.0001293375998339053,0.7565543071161048,0.01401369807780502
MLP,FX_move_top10,89.0,0.011228093253005873,0.00011646638815309398,0.007841014889962618,0.00013879957691662694,0.6760299625468166,0.006108429374644208,0.612053115423902,0.0014251582932554747,0.02575685435296581,8.420417652769256e-05,0.7752808988764045,0.03307775605366234
NoGraph,FX_move_top10,89.0,0.010898430791973121,1.8678635175515835e-05,0.007729061325752459,6.805761147740147e-06,0.6812734082397004,0.0038194902723541176,0.6285325161729656,0.004745318730727809,0.024477562382255003,0.00011286782253534325,0.7865168539325843,0.0
NoMacro,FX_move_top10,89.0,0.01190744645382485,0.0002098575756151593,0.008609584572584678,0.00011981908080887896,0.650561797752809,0.006015872061501526,0.5816819884235614,0.006047201436647834,0.026961925360843925,0.001154011819355523,0.7191011235955056,0.04767012007999198
StaticGraph,FX_move_top10,89.0,0.010297940458312296,0.00012254012046694824,0.007286765004190978,4.617880591988047e-05,0.7123595505617978,0.005504471332097034,0.6491658154579504,0.004299269763068338,0.022279983720656833,0.0004750996034507027,0.846441947565543,0.019097451361770726
PureGraphFX,FX_move_top10,89.0,0.010419982443994487,0.0001347387868053266,0.00739025917929903,7.291749773220287e-05,0.7086142322097378,0.009235077158005936,0.6625127681307457,0.003182382416220045,0.02263732440544404,0.0010386056260897262,0.8651685393258427,0.02427243707268859
Ours,FX_move_top10,89.0,0.010342567935545947,4.133443756120122e-05,0.006985897414375011,7.709777049973697e-05,0.7325842696629213,0.0024272437072688775,0.6813755532856657,0.0036251499228345326,0.023597122448850802,0.0002520350990861865,0.8913857677902621,0.00529668000888801
LSTM,Oil_shock_top10,108.0,0.007381578750553154,2.5518803037621482e-05,0.004638322762503568,2.1202949015692282e-05,0.5799382716049383,0.009019530368026243,0.5485409652076318,0.006782002545582908,0.019137395957862846,4.980383464051899e-05,0.7314814814814815,0.013094570021973107
MLP,Oil_shock_top10,108.0,0.00777988756855585,9.298442457293866e-05,0.004812070063161329,7.919904068993436e-05,0.5574074074074074,0.0027258521192370096,0.5502244668911335,0.011909179703385769,0.020004864419433225,0.0002809353714573272,0.6604938271604938,0.011548325267820809
NoGraph,Oil_shock_top10,108.0,0.007200040747399342,2.3183465626772556e-05,0.004510047391216284,2.1811057177966373e-05,0.5885802469135802,0.009330997813475881,0.5780583613916948,0.004172307585957583,0.018387017318970637,5.1291859881242735e-05,0.6851851851851851,0.01512030705421717
NoMacro,Oil_shock_top10,108.0,0.007647578145307503,0.00010916761330576223,0.004795665009117941,4.4865553832530114e-05,0.5404320987654322,0.012926167648995004,0.5364197530864198,0.013322965658586388,0.019803533108570408,0.0008280498801307947,0.6851851851851851,0.013094570021973107
StaticGraph,Oil_shock_top10,108.0,0.006854534170180777,6.236855542516931e-05,0.0044363012150346335,2.5567433594120834e-05,0.5941358024691358,0.0064298353876542265,0.5870931537598204,0.007424393000467445,0.016494590878200793,0.0003303196989950205,0.7962962962962963,0.020002286106197087
PureGraphFX,Oil_shock_top10,108.0,0.006982787997578067,4.706143121764823e-05,0.004458469370667394,8.683946794264027e-05,0.6061728395061728,0.013615274691427651,0.5865319865319866,0.003644564058614962,0.016945075565505476,0.0006436651374753616,0.8117283950617283,0.026550386626674756
