regime,rank,currency,incoming_centrality
normal,1,AUD,1.8693512678146362
normal,2,SEK,1.6596275568008423
normal,3,CHF,1.54828679561615
VIX_top10,1,AUD,1.787578821182251
VIX_top10,2,SEK,1.5553138256072998
VIX_top10,3,CHF,1.4359899759292603
US2Y_shock_top10,1,AUD,1.8754374980926514
US2Y_shock_top10,2,SEK,1.6329413652420044
US2Y_shock_top10,3,CHF,1.5320388078689575
Oil_shock_top10,1,AUD,1.8474961519241333
Oil_shock_top10,2,SEK,1.5839067697525024
Oil_shock_top10,3,CHF,1.5366401672363281
composite_macro_shock_top10,1,AUD,1.8519079685211182
composite_macro_shock_top10,2,SEK,1.6220183372497559
composite_macro_shock_top10,3,CHF,1.5093247890472412
