model,display_name,lookback,seed,top_k,best_epoch,best_val_mse,rmse,mae,hit_ccy,hit_pair,extreme_rmse,extreme_hit,ic,sharpe
Ours,Ours,20,42,2,61,0.8037036657333374,0.005067390855401754,0.003506299341097474,0.6596920289855073,0.6218050065876153,0.011686335317790508,0.8297101449275363,0.32485624734769025,12.146711030051382
Ours,Ours,20,123,2,16,0.8255079984664917,0.005110601894557476,0.0035630834754556417,0.6509963768115942,0.615909090909091,0.011971375904977322,0.8306159420289855,0.3072355482441069,11.370726592537377
Ours,Ours,20,456,2,28,0.8135532736778259,0.005068207159638405,0.0035240433644503355,0.6608695652173913,0.6215909090909091,0.011751989834010601,0.8278985507246377,0.32054644589734743,11.686198214422685
Ours,Ours,20,42,4,29,0.804542064666748,0.005052730441093445,0.003495730459690094,0.6614130434782609,0.6196640316205534,0.011727169156074524,0.8251811594202898,0.3133206671426053,11.425428929521026
Ours,Ours,20,123,4,29,0.8149781823158264,0.005035207141190767,0.0034844682086259127,0.6642210144927536,0.6194664031620554,0.011680083349347115,0.8342391304347826,0.3123101518493904,11.392141810445995
Ours,Ours,20,456,4,20,0.8151569962501526,0.0050927395932376385,0.003541960148140788,0.6617753623188406,0.6183959156785244,0.011919598095119,0.8360507246376812,0.3119543083559994,11.476255654232608
Ours,Ours,20,42,6,29,0.8074051737785339,0.005073202773928642,0.00350974197499454,0.6561594202898551,0.6179347826086956,0.011786776594817638,0.822463768115942,0.31208551052375255,11.103930049292684
Ours,Ours,20,123,6,31,0.8226276636123657,0.005081383977085352,0.0035161999985575676,0.6597826086956522,0.6212121212121212,0.011751209385693073,0.8297101449275363,0.3202293765667058,11.516068676100716
Ours,Ours,20,456,6,25,0.8165867924690247,0.005101700779050589,0.0035471778828650713,0.657518115942029,0.619433465085639,0.011893210932612419,0.8278985507246377,0.3158336746196748,11.223855458819823
Ours,Ours,20,42,8,29,0.8095197081565857,0.0051009939052164555,0.00352967856451869,0.6588768115942029,0.6174077733860343,0.011805501766502857,0.8188405797101449,0.3084805513491657,11.255984435946365
Ours,Ours,20,123,8,18,0.8215458393096924,0.005096416920423508,0.0035398376639932394,0.659963768115942,0.6167325428194993,0.011985540390014648,0.8197463768115942,0.30680118418281543,11.742023684161936
Ours,Ours,20,456,8,29,0.8137365579605103,0.005101562011986971,0.0035513569600880146,0.6594202898550725,0.6174901185770751,0.01182092446833849,0.8242753623188406,0.3101234076112737,11.276546186504055
Ours,Ours,20,42,10,43,0.8042025566101074,0.005098493304103613,0.0035378234460949898,0.6567934782608695,0.6203722002635046,0.01171991229057312,0.8278985507246377,0.3193600489163917,11.5378708875199
Ours,Ours,20,123,10,18,0.8191429972648621,0.0051215458661317825,0.003552868030965328,0.6578804347826087,0.6164690382081687,0.012069727294147015,0.8215579710144928,0.3053544447112904,11.656976892694596
Ours,Ours,20,456,10,28,0.814559280872345,0.005077366251498461,0.003530728630721569,0.6567028985507246,0.6190546772068511,0.011735410429537296,0.8242753623188406,0.3159264041167113,11.648671198230678
