index,model,threshold_bp,nontrivial_hit_mean,nontrivial_hit_std,macro_f1_mean,macro_f1_std
0,corrlstmgat,1,0.5016984565963455,0.004176373912263251,0.23067833281871428,0.0165429656004961
1,corrlstmgat,3,0.5068364980491076,0.004054544316122385,0.1118275054710975,0.06042576078572845
2,corrlstmgat,5,0.5097943735019296,0.004839753440112739,0.034905422618762845,0.039536530827123134
3,corrlstmgat,10,0.5086589865220993,0.006818196745484298,4.855193843614206e-05,8.409442417735426e-05
4,fxrp,1,0.47587900491377777,0.0031095995534045884,0.1993775436076882,0.009755524841332084
5,fxrp,3,0.4786186930838443,0.004974632548363606,0.12331612746437583,0.055891077443294114
6,fxrp,5,0.4809169926417416,0.003390092059733814,0.04486916124058831,0.048083726359249936
7,fxrp,10,0.4824561403508772,0.00238075623127208,0.0,0.0
8,gnn,1,0.498031397105327,0.0019861917158787404,0.2861719455278509,0.00374245610310328
9,gnn,3,0.5019564434098598,0.002237024793913061,0.1920210817548611,0.020469605372069457
10,gnn,5,0.5040164584969311,0.0026598868475651164,0.1213470681412645,0.029605974073035814
11,gnn,10,0.5050192044655325,0.0053556856661427414,0.0329201762956808,0.01913721731366715
12,mlp,1,0.5085703510059142,0.00891062814615494,0.27547593334703063,0.012365308301180482
13,mlp,3,0.5130612287097166,0.009340666157539245,0.19077879225265104,0.02110740597627753
14,mlp,5,0.5175085939553233,0.010175138684754535,0.12161238049252561,0.033034571041630593
15,mlp,10,0.5202768937603878,0.00938909768236613,0.0334564879542874,0.030998118730081896
16,oursmain,1,0.5170890219962806,0.002642285715584506,0.3159751101939497,0.005753104780925755
17,oursmain,3,0.5202518707106591,0.0032484195416016483,0.2646181783323523,0.008766512639430273
18,oursmain,5,0.5233171982536705,0.0030337127006061153,0.21120089893035462,0.01591061471133854
19,oursmain,10,0.5275116970691931,0.0027146005174195813,0.10684719577688212,0.04234467210488489
20,transformer,1,0.5052690175262535,0.0068538901796895094,0.2789962445582373,0.007508405784618888
21,transformer,3,0.5083287296803207,0.006678343002338668,0.20946879825429998,0.030982997983783917
22,transformer,5,0.5101892036593987,0.007301491045159422,0.153014900957565,0.05090397578670679
23,transformer,10,0.5126837491299695,0.009331771949940584,0.07445789135353907,0.06311172839946516
