model,seed,threshold_bp,nontrivial_hit,macro_f1
oursmain,21,1,0.5196655026649513,0.30954165233495434
oursmain,21,3,0.523818472235272,0.2613492059506748
oursmain,21,5,0.5267079543255274,0.21471698351995183
oursmain,21,10,0.5297199059226,0.13387053547499508
mlp,21,1,0.5184741546116282,0.28268958571868064
mlp,21,3,0.5231279620853081,0.21515141782677757
mlp,21,5,0.52856860419138,0.15825904094197135
mlp,21,10,0.5309871624612661,0.06880222696091694
transformer,21,1,0.5066519864207726,0.2747014284689108
transformer,21,3,0.5079925650557621,0.24113006947324447
transformer,21,5,0.5105509405137019,0.20842582862129408
transformer,21,10,0.5123534338358459,0.1473197382144474
gnn,21,1,0.4957533234859675,0.28199611031541366
gnn,21,3,0.49937421777221525,0.16895568036383027
gnn,21,5,0.5012106537530266,0.08784466349189256
gnn,21,10,0.4992676056338028,0.01118630497760698
corrlstmgat,21,1,0.5039822189294314,0.24758348334078564
corrlstmgat,21,3,0.5090308797824821,0.11449658918350163
corrlstmgat,21,5,0.5119607442240851,0.018824695027555887
corrlstmgat,21,10,0.5108425570363677,0.0
fxrp,21,1,0.4746899402847956,0.20500208524571872
fxrp,21,3,0.47571442044704326,0.16138860677684425
fxrp,21,5,0.4782348839525849,0.09562535053280986
fxrp,21,10,0.48102552518635644,0.0
oursmain,42,1,0.514385513374391,0.31775790063009784
oursmain,42,3,0.5174627147441948,0.2579558513679391
oursmain,42,5,0.5208599195052518,0.19382634222414652
oursmain,42,10,0.5244809592539136,0.05804564650977562
mlp,42,1,0.5012028127313102,0.28254024880486234
mlp,42,3,0.5046746987951807,0.1785297976103911
mlp,42,5,0.5085448478106988,0.09412119379358751
mlp,42,10,0.5134647887323943,0.010895631609677487
transformer,42,1,0.49782909930715935,0.2746212241061177
transformer,42,3,0.5018248175182481,0.1792118293385615
transformer,42,5,0.502713567839196,0.10832601660810837
transformer,42,10,0.5035215204024595,0.03682126664125265
gnn,42,1,0.4994000922934933,0.2892230754121173
gnn,42,3,0.5033055475711411,0.19908218451549575
gnn,42,5,0.506501300260052,0.13220714469530404
gnn,42,10,0.5098629220996322,0.04724575542544116
corrlstmgat,42,1,0.5042349475234763,0.21452305509498537
corrlstmgat,42,3,0.5093209054593875,0.17087449688986464
corrlstmgat,42,5,0.513172504289896,0.07994842037395229
corrlstmgat,42,10,0.5141179128077705,0.00014565581530842617
fxrp,42,1,0.4735393928276621,0.20501770814491152
fxrp,42,3,0.47577887537993924,0.14940944881889764
fxrp,42,5,0.47978874669916716,0.03898213318895506
fxrp,42,10,0.48113846848881864,0.0
oursmain,456,1,0.5172160499494995,0.32062577761679684
oursmain,456,3,0.5194744251525105,0.2745494776784431
oursmain,456,5,0.5223837209302326,0.2250593710469655
oursmain,456,10,0.5283342260310658,0.12862540534587566
mlp,456,1,0.5060340856748042,0.2611979655175489
mlp,456,3,0.511381025248661,0.17865516132078443
mlp,456,5,0.5154123298638911,0.11245690674201796
mlp,456,10,0.5163787300875028,0.020671605292267758
transformer,456,1,0.5113259668508288,0.28766608109968345
transformer,456,3,0.515168806466952,0.20806449595109397
transformer,456,5,0.5173031026252983,0.1422928576432926
transformer,456,10,0.5221762931516032,0.03923266920491713
gnn,456,1,0.4989407755365202,0.28729665085602174
gnn,456,3,0.503189564886223,0.20802538038525722
gnn,456,5,0.5043374214777147,0.14398939623659693
gnn,456,10,0.5059270856631626,0.04032846848399425
corrlstmgat,456,1,0.496878203336129,0.2299284600203718
corrlstmgat,456,3,0.5021577089054531,0.05011143033992624
corrlstmgat,456,5,0.5042498719918075,0.005943152454780362
corrlstmgat,456,10,0.5010164897221595,0.0
fxrp,456,1,0.47940768162887554,0.18811283743243426
fxrp,456,3,0.4843627834245504,0.059150326797385626
fxrp,456,5,0.4847273472734727,0.0
fxrp,456,10,0.4852044273774565,0.0
