model,trial_id,hidden,top_k,graph_rank,dropout,edge_dropout,spectral_bound,lr,weight_decay,lambda_dir,lambda_rank,lambda_smooth,lambda_static,lambda_sparse,lambda_spectral,small_return_quantile,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max,rank_score
foundation_relational,foundation_relational_trial0011,48,6,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.006193444132804871,,0.006193444132804871,0.006193444132804871,0.004430191125720739,,0.004430191125720739,0.004430191125720739,0.4920402561756633,,0.4920402561756633,0.4920402561756633,0.5112534309240622,,0.5112534309240622,0.5112534309240622,0.505032021957914,,0.505032021957914,0.505032021957914,0.49102368608315544,,0.49102368608315544,0.49102368608315544,-0.010906375392283705,,-0.010906375392283705,-0.010906375392283705,-0.025007114850737092,,-0.025007114850737092,-0.025007114850737092,-0.038614792182262415,,-0.038614792182262415,-0.038614792182262415,-0.19376435309823137,,-0.19376435309823137,-0.19376435309823137,-0.0067322222544135,,-0.0067322222544135,-0.0067322222544135,-0.4920402561756633
foundation_relational,foundation_relational_trial0010,48,5,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.0061934818513691425,,0.0061934818513691425,0.0061934818513691425,0.004430214408785105,,0.004430214408785105,0.004430214408785105,0.4920402561756633,,0.4920402561756633,0.4920402561756633,0.5110704483074108,,0.5110704483074108,0.5110704483074108,0.505032021957914,,0.505032021957914,0.505032021957914,0.4909423604757548,,0.4909423604757548,0.4909423604757548,-0.01119471163670412,,-0.01119471163670412,-0.01119471163670412,-0.04565800153297527,,-0.04565800153297527,-0.04565800153297527,-0.07048800937288904,,-0.07048800937288904,-0.07048800937288904,-0.1981680811586557,,-0.1981680811586557,-0.1981680811586557,-0.012300831361699238,,-0.012300831361699238,-0.012300831361699238,-0.4920402561756633
foundation_relational,foundation_relational_trial0012,48,7,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.0061934697441756725,,0.0061934697441756725,0.0061934697441756725,0.00443021347746253,,0.00443021347746253,0.00443021347746253,0.49194876486733763,,0.49194876486733763,0.49194876486733763,0.5114364135407137,,0.5114364135407137,0.5114364135407137,0.505032021957914,,0.505032021957914,0.505032021957914,0.4909016976720545,,0.4909016976720545,0.4909016976720545,-0.011189217347653779,,-0.011189217347653779,-0.011189217347653779,-0.03909289910933328,,-0.03909289910933328,-0.03909289910933328,-0.06043914424454563,,-0.06043914424454563,-0.06043914424454563,-0.19376435309823137,,-0.19376435309823137,-0.19376435309823137,-0.010528586667987838,,-0.010528586667987838,-0.010528586667987838,-0.49194876486733763
foundation_relational,foundation_relational_trial0009,48,4,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.006193430628627539,,0.006193430628627539,0.006193430628627539,0.0044301701709628105,,0.0044301701709628105,0.0044301701709628105,0.4917657822506862,,0.4917657822506862,0.4917657822506862,0.5110704483074108,,0.5110704483074108,0.5110704483074108,0.505032021957914,,0.505032021957914,0.505032021957914,0.49092202907390464,,0.49092202907390464,0.49092202907390464,-0.011117251443578285,,-0.011117251443578285,-0.011117251443578285,-0.05609172980265192,,-0.05609172980265192,-0.05609172980265192,-0.0864442763420945,,-0.0864442763420945,-0.0864442763420945,-0.19726081464614253,,-0.19726081464614253,-0.19726081464614253,-0.015120925710562005,,-0.015120925710562005,-0.015120925710562005,-0.4917657822506862
foundation_relational,foundation_relational_trial0007,48,2,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.006193380802869797,,0.006193380802869797,0.006193380802869797,0.004430076107382774,,0.004430076107382774,0.004430076107382774,0.49139981701738333,,0.49139981701738333,0.49139981701738333,0.5101555352241537,,0.5101555352241537,0.5101555352241537,0.505032021957914,,0.505032021957914,0.505032021957914,0.49092202907390464,,0.49092202907390464,0.49092202907390464,-0.010845634380368105,,-0.010845634380368105,-0.010845634380368105,-0.017767192286599953,,-0.017767192286599953,-0.017767192286599953,-0.027508280716090475,,-0.027508280716090475,-0.027508280716090475,-0.1979187708493555,,-0.1979187708493555,-0.1979187708493555,-0.0048001760819715855,,-0.0048001760819715855,-0.0048001760819715855,-0.49139981701738333
foundation_relational,foundation_relational_trial0008,48,3,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.0061934213154017925,,0.0061934213154017925,0.0061934213154017925,0.004430132452398539,,0.004430132452398539,0.004430132452398539,0.49121683440073194,,0.49121683440073194,0.49121683440073194,0.5112534309240622,,0.5112534309240622,0.5112534309240622,0.505032021957914,,0.505032021957914,0.505032021957914,0.49092202907390464,,0.49092202907390464,0.49092202907390464,-0.01106726269570415,,-0.01106726269570415,-0.01106726269570415,-0.03828834597615806,,-0.03828834597615806,-0.03828834597615806,-0.059011637314041444,,-0.059011637314041444,-0.059011637314041444,-0.19584842438052874,,-0.19584842438052874,-0.19584842438052874,-0.010318292982901767,,-0.010318292982901767,-0.010318292982901767,-0.49121683440073194
oursmain,oursmain_trial0006,48,7,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.006259407848119736,,0.006259407848119736,0.006259407848119736,0.00447777658700943,,0.00447777658700943,0.00447777658700943,0.5125343092406222,,0.5125343092406222,0.5125343092406222,0.5224153705397987,,0.5224153705397987,0.5224153705397987,0.5123513266239708,,0.5123513266239708,0.5123513266239708,0.4978550371048084,,0.4978550371048084,0.4978550371048084,0.0072371532620985266,,0.0072371532620985266,0.0072371532620985266,-0.08686223545308937,,-0.08686223545308937,-0.08686223545308937,-0.12666569814080403,,-0.12666569814080403,-0.12666569814080403,-0.14642761391587555,,-0.14642761391587555,-0.14642761391587555,-0.026181052264291793,,-0.026181052264291793,-0.026181052264291793,-0.5125343092406222
oursmain,oursmain_trial0004,48,5,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.00626002624630928,,0.00626002624630928,0.00626002624630928,0.004478378687053919,,0.004478378687053919,0.004478378687053919,0.5117108874656907,,0.5117108874656907,0.5117108874656907,0.5209515096065874,,0.5209515096065874,0.5209515096065874,0.5128087831655993,,0.5128087831655993,0.5128087831655993,0.4980990139270103,,0.4980990139270103,0.4980990139270103,0.00783030861809038,,0.00783030861809038,0.00783030861809038,-0.06436801455467418,,-0.06436801455467418,-0.06436801455467418,-0.0939792015264491,,-0.0939792015264491,-0.0939792015264491,-0.14938517095288262,,-0.14938517095288262,-0.14938517095288262,-0.019411470275372267,,-0.019411470275372267,-0.019411470275372267,-0.5117108874656907
oursmain,oursmain_trial0003,48,4,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.006260162219405174,,0.006260162219405174,0.006260162219405174,0.004478503484278917,,0.004478503484278917,0.004478503484278917,0.5115279048490393,,0.5115279048490393,0.5115279048490393,0.5209515096065874,,0.5209515096065874,0.5209515096065874,0.5128087831655993,,0.5128087831655993,0.5128087831655993,0.49797702551590933,,0.49797702551590933,0.49797702551590933,0.007695565368802943,,0.007695565368802943,0.007695565368802943,-0.04860266517769082,,-0.04860266517769082,-0.04860266517769082,-0.07109848222050788,,-0.07109848222050788,-0.07109848222050788,-0.14584609674056992,,-0.14584609674056992,-0.14584609674056992,-0.014625956187956035,,-0.014625956187956035,-0.014625956187956035,-0.5115279048490393
oursmain,oursmain_trial0005,48,6,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.0062599508091807365,,0.0062599508091807365,0.0062599508091807365,0.004478287883102894,,0.004478287883102894,0.004478287883102894,0.5114364135407137,,0.5114364135407137,0.5114364135407137,0.5209515096065874,,0.5209515096065874,0.5209515096065874,0.5128087831655993,,0.5128087831655993,0.5128087831655993,0.4981600081325607,,0.4981600081325607,0.4981600081325607,0.00783030861809038,,0.00783030861809038,0.00783030861809038,-0.053177578840598046,,-0.053177578840598046,-0.053177578840598046,-0.07773557667475192,,-0.07773557667475192,-0.07773557667475192,-0.1417782932985574,,-0.1417782932985574,-0.1417782932985574,-0.016017041925806552,,-0.016017041925806552,-0.016017041925806552,-0.5114364135407137
