model,universe,lookback,seed,tc_bps,n_dates,avg_turnover,gross_cumulative_return,net_cumulative_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,hit_ratio,avg_gross_return,avg_net_return
oursmain,core6,10,42,0.0,1093,0.1505032021957914,0.1238435646334548,0.1238435646334548,0.02728429161910717,0.06610406688077429,0.44029179634944215,0.6082777741308673,-0.15317743325423794,0.5160109789569991,0.00011549634267039594,0.00011549634267039594
oursmain,core6,10,42,2.0,1093,0.1505032021957914,0.1238435646334548,0.08747080353648773,0.019521465120909687,0.06611292853379898,0.32549937568217635,0.44925515302757585,-0.15841702667456226,0.5141811527904849,0.00011549634267039594,8.539570223123772e-05
oursmain,core6,10,42,5.0,1093,0.1505032021957914,0.1238435646334548,0.035099347128072056,0.007985371482024828,0.06614532080882628,0.1533241467764832,0.211357029634522,-0.16621682160075946,0.5068618481244281,0.00011549634267039594,4.024474157250019e-05
foundation_relational,core6,10,42,0.0,1093,0.19945105215004574,0.25474427014138534,0.25474427014138534,0.05371388829115853,0.06445241136951539,0.844008120248909,1.4827190283720135,-0.07859105432562663,0.48581884720951507,0.0002158665022440242,0.0002158665022440242
foundation_relational,core6,10,42,2.0,1093,0.19945105215004574,0.25474427014138534,0.20122454325290096,0.04317700046488482,0.06444563823764271,0.6881152355665443,1.206956040680468,-0.08428787822248174,0.48032936870997256,0.0002158665022440242,0.0001759762918140151
foundation_relational,core6,10,42,5.0,1093,0.19945105215004574,0.25474427014138534,0.12518305628299586,0.02756645855702433,0.06446072641295045,0.45403655253733444,0.7958969970357946,-0.09276836720708048,0.47666971637694416,0.0002158665022440242,0.00011614097616900125
mlp,core6,10,42,0.0,1093,0.8586459286367795,0.060194240525133225,0.060194240525133225,0.013567832366568222,0.06212396892220663,0.24794292393572653,0.40757972768115436,-0.12928200090860564,0.484903934126258,6.112380357565126e-05,6.112380357565126e-05
mlp,core6,10,42,2.0,1093,0.8586459286367795,0.060194240525133225,-0.12124678815103629,-0.02936026697385752,0.062108571110342264,-0.44877149488290596,-0.7311978426602916,-0.20346649505335102,0.4565416285452882,6.112380357565126e-05,-0.00011060538215170461
mlp,core6,10,42,5.0,1093,0.8586459286367795,0.060194240525133225,-0.3369382108792387,-0.09038454629628456,0.06216150057405712,-1.492663266656953,-2.410963645171155,-0.3495313915594065,0.42451967063129004,6.112380357565126e-05,-0.0003681991607427387
lstm,core6,10,42,0.0,1093,0.48261665141811527,-0.13189097492599633,-0.13189097492599633,-0.032083705993314005,0.06284672472896953,-0.48744610785912423,-0.755687049047015,-0.21179259857849886,0.47666971637694416,-0.00012156504508265861,-0.00012156504508265861
lstm,core6,10,42,2.0,1093,0.48261665141811527,-0.13189097492599633,-0.2188188950744745,-0.05534540157265411,0.06281265575015983,-0.874955372224699,-1.3478440238131857,-0.25904275842432967,0.46294602012808783,-0.00012156504508265861,-0.0002180883753662816
lstm,core6,10,42,5.0,1093,0.48261665141811527,-0.13189097492599633,-0.33318844097637235,-0.08920110681294136,0.06281655622732228,-1.4557322930692376,-2.230054846744997,-0.3529329910481972,0.4473924977127173,-0.00012156504508265861,-0.0003628733707917165
gru,core6,10,42,0.0,1093,0.5663311985361391,0.021782637193424215,0.021782637193424215,0.004980609156700844,0.061113214119647624,0.11186763541989185,0.1553062742240932,-0.10638703903729885,0.5077767612076852,2.712932839870844e-05,2.712932839870844e-05
gru,core6,10,42,2.0,1093,0.5663311985361391,0.021782637193424215,-0.09721892739896199,-0.023304530735701712,0.06118219981059089,-0.35478458958563636,-0.49036711472195393,-0.15924181237180002,0.4958828911253431,2.712932839870844e-05,-8.613691130851939e-05
gru,core6,10,42,5.0,1093,0.5663311985361391,0.021782637193424215,-0.2502785650151219,-0.06425575368673797,0.061345922225483844,-1.051759235470034,-1.4450114814056079,-0.2823361254912071,0.4757548032936871,2.712932839870844e-05,-0.0002560362708693613
gnn,core6,10,42,0.0,1093,0.5361390667886551,0.11890888624117468,0.11890888624117468,0.02624255257775343,0.060936330884013686,0.45556242894182797,0.6794108639933165,-0.10553601736335338,0.5032021957913998,0.00011015993217588969,0.00011015993217588969
gnn,core6,10,42,2.0,1093,0.5361390667886551,0.11890888624117468,-0.004847287443921489,-0.0011196714721788403,0.06100404935740351,0.012112211401689808,0.018023447688069072,-0.13372447329565385,0.48947849954254347,0.00011015993217588969,2.9321188181586926e-06
gnn,core6,10,42,5.0,1093,0.5361390667886551,0.11890888624117468,-0.16532962906852522,-0.040809989565607885,0.06116630302945709,-0.6505742138425855,-0.9652527079863493,-0.18623236120235553,0.4730100640439158,0.00011015993217588969,-0.00015790960121843807
oursmain,core6,10,123,0.0,1093,0.2031107044830741,-0.008971266696830349,-0.008971266696830349,-0.0020755751285256308,0.07027018792764822,0.005596580870326106,0.007509239361728536,-0.12842175313063908,0.526075022872827,1.5606063075797477e-06,1.5606063075797477e-06
oursmain,core6,10,123,2.0,1093,0.2031107044830741,-0.008971266696830349,-0.052021180710545956,-0.012241587372186169,0.07030215063848029,-0.14001714922002587,-0.18770080648302975,-0.15849374646102476,0.5205855443732845,1.5606063075797477e-06,-3.906153458903504e-05
oursmain,core6,10,123,5.0,1093,0.2031107044830741,-0.008971266696830349,-0.11312457917943852,-0.02729912930577305,0.0703736593868385,-0.3580697123740876,-0.47964353638365265,-0.20586407677797203,0.5123513266239708,1.5606063075797477e-06,-9.99947459339574e-05
foundation_relational,core6,10,123,0.0,1093,0.21957913998170173,0.3089714299160844,0.3089714299160844,0.06404304395166704,0.06221032834996415,1.0290075249985735,1.6180090760630375,-0.05288184054120726,0.5196706312900274,0.0002540273650981952,0.0002540273650981952
foundation_relational,core6,10,123,2.0,1093,0.21957913998170173,0.3089714299160844,0.24763555116223346,0.05233449551872216,0.06221709962014962,0.8510217877870939,1.335413547843512,-0.05402044447582388,0.5123513266239708,0.0002540273650981952,0.00021011153710185493
foundation_relational,core6,10,123,5.0,1093,0.21957913998170173,0.3089714299160844,0.16096511262974667,0.03501009164586333,0.062254729278831515,0.5838580424027343,0.9144240937482346,-0.07509822635847452,0.49954254345837146,0.0002540273650981952,0.00014423779510734424
mlp,core6,10,123,0.0,1093,0.8934126258005489,-0.08539944412785716,-0.08539944412785716,-0.020371075917995807,0.06089334795076187,-0.30755222904994467,-0.46165815833723295,-0.19063484687871035,0.4794144556267155,-7.431700355782022e-05,-7.431700355782022e-05
mlp,core6,10,123,2.0,1093,0.8934126258005489,-0.08539944412785716,-0.2476886685814087,-0.06351146122029916,0.06090208509799623,-1.0468587591759817,-1.5619912633733999,-0.30208284506435,0.4537968892955169,-7.431700355782022e-05,-0.00025299952871793
mlp,core6,10,123,5.0,1093,0.8934126258005489,-0.08539944412785716,-0.43880986997598215,-0.12470331305835947,0.06098797616548246,-2.1528485449522257,-3.190789233437908,-0.4461878337929519,0.42268984446477587,-7.431700355782022e-05,-0.0005210233164580949
lstm,core6,10,123,0.0,1093,0.49359560841720035,0.19095441851606032,0.19095441851606032,0.04111388617732081,0.06553937725854153,0.6474730102480211,1.0892010431392845,-0.05820278259507383,0.484903934126258,0.00016839276937844676,0.00016839276937844676
lstm,core6,10,123,2.0,1093,0.49359560841720035,0.19095441851606032,0.06915737724672977,0.015537078260164261,0.06552274503453727,0.26796434138842856,0.44946236693921127,-0.06846662667624215,0.47483989021043,0.00016839276937844676,6.967364769500675e-05
lstm,core6,10,123,5.0,1093,0.49359560841720035,0.19095441851606032,-0.09061819058164078,-0.0216626884846175,0.06555007726400326,-0.3014194582505675,-0.5039875245323061,-0.1443968333854032,0.46111619396157366,0.00016839276937844676,-7.840503483015359e-05
gru,core6,10,123,0.0,1093,0.41216834400731933,-0.0019154503885951968,-0.0019154503885951968,-0.00044194840243849676,0.06385869839091879,0.024923207141578873,0.0405677529569845,-0.13284735299713035,0.48032936870997256,6.315728443605072e-06,6.315728443605072e-06
gru,core6,10,123,2.0,1093,0.41216834400731933,-0.0019154503885951968,-0.08790529036172645,-0.020990550099493577,0.06382085828539912,-0.30055567232270824,-0.4867075273512023,-0.18245546270719804,0.4730100640439158,6.315728443605072e-06,-7.611794035785878e-05
gru,core6,10,123,5.0,1093,0.41216834400731933,-0.0019154503885951968,-0.20322151520851872,-0.05102977875088166,0.06380735344539239,-0.7889631062698312,-1.2687534972045758,-0.2516100222185158,0.4602012808783166,6.315728443605072e-06,-0.00019976844356005475
gnn,core6,10,123,0.0,1093,0.560384263494968,-0.0005252064108458576,-0.0005252064108458576,-0.00012111506550049889,0.06605713192310622,0.031183406849800425,0.04520571065449262,-0.09829142184663764,0.4986276303751144,8.174152460671273e-06,8.174152460671273e-06
gnn,core6,10,123,2.0,1093,0.560384263494968,-0.0005252064108458576,-0.11578290874119124,-0.027972117269444707,0.06612477182163384,-0.39597082513471676,-0.5728197744575525,-0.1702321630311503,0.4885635864592864,8.174152460671273e-06,-0.00010390270023832229
gnn,core6,10,123,5.0,1093,0.560384263494968,-0.0005252064108458576,-0.26426728344074,-0.06831043224049005,0.06629206208615282,-1.034038293924113,-1.4917403456211054,-0.2927976951037623,0.4592863677950595,8.174152460671273e-06,-0.0002720179792868129
oursmain,core6,10,456,0.0,1093,0.23055809698078683,0.31998970127208226,0.31998970127208226,0.06610140303184076,0.06528317273959862,1.0132116552540875,1.4801133960486899,-0.0865430232141634,0.5324794144556267,0.000262482823459235,0.000262482823459235
oursmain,core6,10,456,2.0,1093,0.23055809698078683,0.31998970127208226,0.2551209647902086,0.0537868150912677,0.06529439883219826,0.8350722940879227,1.2180095290744033,-0.09527912747674427,0.5279048490393413,0.000262482823459235,0.0002163712040630777
oursmain,core6,10,456,5.0,1093,0.23055809698078683,0.31998970127208226,0.1637316688257704,0.035578221371943775,0.06533889467008014,0.5677376619157087,0.8264226417756361,-0.1082288902395887,0.5169258920402562,0.000262482823459235,0.0001472037749688415
foundation_relational,core6,10,456,0.0,1093,0.23467520585544374,0.1262413084526144,0.1262413084526144,0.027789199060896053,0.06686680728664172,0.44323080361837114,0.7642211671206983,-0.07571347946502871,0.4830741079597438,0.00011760884416290859,0.00011760884416290859
foundation_relational,core6,10,456,2.0,1093,0.23467520585544374,0.1262413084526144,0.06993269567519156,0.01570682189802164,0.06684562203564381,0.2664317843349856,0.45851341473434154,-0.08013667827203352,0.4757548032936871,0.00011760884416290859,7.06738029918199e-05
foundation_relational,core6,10,456,5.0,1093,0.23467520585544374,0.1262413084526144,-0.009307936334236433,-0.002153747359133429,0.06684026323535823,0.0010226289957348629,0.0017546659592692524,-0.09142802347078494,0.4638609332113449,0.00011760884416290859,2.7124123518662006e-07
mlp,core6,10,456,0.0,1093,0.8366880146386093,0.15817838747234791,0.15817838747234791,0.03443676599680279,0.06486971777816075,0.5542613147387221,0.9686198274345432,-0.08596537227491308,0.4885635864592864,0.00014267767881925882,0.00014267767881925882
mlp,core6,10,456,2.0,1093,0.8366880146386093,0.15817838747234791,-0.03540608606271822,-0.00827673455927358,0.0648842958436318,-0.09577511467965791,-0.16566108369080257,-0.1316784491204087,0.46660567246111617,0.00014267767881925882,-2.4659924108463036e-05
mlp,core6,10,456,5.0,1093,0.8366880146386093,0.15817838747234791,-0.266896373833031,-0.06907909345433039,0.06497001612948278,-1.0692303761101842,-1.8289166301362383,-0.2978878462569664,0.4409881061299177,0.00014267767881925882,-0.00027566632850004605
lstm,core6,10,456,0.0,1093,0.4725526075022873,-0.007245783183639998,-0.007245783183639998,-0.0016752508840898184,0.06313223738449453,0.004974609384585327,0.007810544450522662,-0.1155754427415242,0.47209515096065874,1.246262780011012e-06,1.246262780011012e-06
lstm,core6,10,456,2.0,1093,0.4725526075022873,-0.007245783183639998,-0.10468403876894972,-0.025172542323220193,0.06313216640730651,-0.37227604460651703,-0.5822140301532933,-0.1706617663579254,0.4656907593778591,1.246262780011012e-06,-9.32642587204464e-05
lstm,core6,10,456,5.0,1093,0.4725526075022873,-0.007245783183639998,-0.23323289992655216,-0.059392950766646746,0.0631891059025567,-0.9373066682737958,-1.4540994081387388,-0.2469408736575387,0.44190301921317476,1.246262780011012e-06,-0.00023503004097113282
gru,core6,10,456,0.0,1093,0.6573650503202195,0.013236537535415094,0.013236537535415094,0.0030363702742339793,0.06396576249554878,0.07933566193553908,0.1259229314802173,-0.1399537375632467,0.49954254345837146,2.0137960749189847e-05,2.0137960749189847e-05
gru,core6,10,456,2.0,1093,0.6573650503202195,0.013236537535415094,-0.12239690195449116,-0.029653309821345397,0.06397211867144056,-0.4385728190657629,-0.6909563133450728,-0.19811769939648227,0.4839890210430009,2.0137960749189847e-05,-0.00011133504931485402
gru,core6,10,456,5.0,1093,0.6573650503202195,0.013236537535415094,-0.2926157175581965,-0.0767127537994462,0.06405057667178879,-1.213934897572881,-1.8919912049045637,-0.3116692583263486,0.4537968892955169,2.0137960749189847e-05,-0.00030854456441092013
gnn,core6,10,456,0.0,1093,0.4478499542543458,0.14830746938374872,0.14830746938374872,0.03239739953239562,0.06382559798358323,0.5313976499325777,0.905656483101831,-0.0971790842011776,0.4958828911253431,0.00013459036815086347,0.00013459036815086347
gnn,core6,10,456,2.0,1093,0.4478499542543458,0.14830746938374872,0.04124281563804755,0.009361556684368333,0.06375779401481477,0.17794114829259017,0.3016194939081986,-0.13370779510028197,0.48581884720951507,0.00013459036815086347,4.502037729999433e-05
gnn,core6,10,456,5.0,1093,0.4478499542543458,0.14830746938374872,-0.10095802095940343,-0.0242386806828484,0.06370311630115687,-0.3533943513156075,-0.5951820811573322,-0.18852713607349914,0.4693504117108875,0.00013459036815086347,-8.933460897630964e-05
