scenario,model,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max,n_dates_mean,n_dates_std,n_dates_min,n_dates_max,n_currency_obs_mean,n_currency_obs_std,n_currency_obs_min,n_currency_obs_max
all_test,foundation_relational,core6,10,0.005438193930564515,2.6749226012233233e-06,0.005435955470508955,0.005441156305556014,0.0039250246457712135,1.4451444184203078e-06,0.003923712174707611,0.003926573353807071,0.4955270915929653,0.002624936735524097,0.4925282098200671,0.4974077462641049,0.5168242350310054,0.004464814731320074,0.5120463555962184,0.5208905154010369,0.5274390243902439,0.011905868408394337,0.5198170731707317,0.5411585365853658,0.498444647758463,0.007663698019830051,0.4910033546813053,0.506312900274474,0.009638565592876567,0.01812811983127339,-0.007979564216051454,0.028236902949562395,0.7720821494300579,0.2994388096387913,0.4432308035131459,1.0290075247359967,1.2883164233173903,0.45889293704781775,0.7642211668078759,1.6180090754138334,-0.07090598785892628,0.014743619904966827,-0.08107770901096956,-0.053997420549421804,0.21404682122503496,0.07692633039161627,0.1285464666700591,0.27765191005232737,1093.0,0.0,1093,1093,6558.0,0.0,6558,6558
all_test,gnn,core6,10,0.005440143808600664,5.307018070559509e-07,0.005439539813782879,0.005440535455901241,0.003923820782041451,4.2525565900017604e-07,0.003923443492126509,0.003924281606380166,0.49390057944495275,0.004065962679467348,0.4906983836535529,0.4984751448612382,0.5123513266239708,0.0029092381866939188,0.5105215004574566,0.5157060079292467,0.5127032520325203,0.004959151752018118,0.5076219512195121,0.5175304878048781,0.49763139168445664,0.0017405627509057236,0.49594388533089356,0.4994205550472705,0.007980902526409447,0.008075010164751383,0.0008749520454084322,0.016762155684351725,0.3393811618219554,0.2695869754198804,0.03118340684230659,0.53139764980041,0.5434243523620115,0.44605283459284817,0.045205710638743964,0.9056564827179358,-0.1034075108492895,0.005471685326234385,-0.10972168420948947,-0.10005612699387711,0.09214880896555162,0.07329215670920637,0.0089343486395137,0.14710727238889376,1093.0,0.0,1093,1093,6558.0,0.0,6558,6558
all_test,gru,core6,10,0.00544386666860219,3.1360747566857696e-06,0.005440565702005132,0.005446806601210832,0.003926902126025183,7.383017697495525e-06,0.003920822182585402,0.003935117488179459,0.49491714953746063,0.010167860907051619,0.4852089051540104,0.5054894784995425,0.518450747179018,0.011624957946048129,0.5114364135407137,0.531869472400122,0.508130081300813,0.019792628763782866,0.49085365853658536,0.5297256097560976,0.495232286266138,0.002302750047334406,0.4927111924367185,0.4972247636474535,0.0018437323447019229,0.008553991982781334,-0.005998096274526438,0.010965615003717549,0.07204216814735569,0.0439286886860977,0.02492320713538326,0.11186763539083358,0.10726565284642404,0.05960119626731878,0.0405677529405696,0.15530627416808668,-0.1306954655969245,0.019172555363940323,-0.14595404964688896,-0.10917486014318456,0.019522079409171056,0.01157702578742771,0.006903091188860344,0.029652355939788322,1093.0,0.0,1093,1093,6558.0,0.0,6558,6558
all_test,lstm,core6,10,0.005445087486378296,8.43615542662464e-06,0.005438601000148753,0.005454624602758206,0.003932370696971356,4.199576349077776e-06,0.003928956833117324,0.00393706017675236,0.48673376029277216,0.010703353492183798,0.476517230863068,0.49786520280573343,0.5089966453186947,0.014638609332113438,0.4943580359865813,0.5236352546508082,0.506859756097561,0.016006097560975614,0.4885670731707317,0.5182926829268293,0.4873233709464268,0.0055152839066596815,0.48392802683745045,0.4936870997255261,-0.015894835442000998,0.00913305341562555,-0.021879237862141927,-0.005382470640091054,0.055000503912843064,0.5691109677339055,-0.4874461077359998,0.6474730100911945,0.11377484613060791,0.9269974878141508,-0.7556870487510946,1.0892010426954792,-0.136462653284525,0.0880994653261919,-0.2325390084981791,-0.05946733031760232,0.017514955957949496,0.15907819678004065,-0.13287059427534587,0.18405329693064232,1093.0,0.0,1093,1093,6558.0,0.0,6558,6558
all_test,mlp,core6,10,0.005443848853347211,3.0992122857970198e-06,0.00544028143428951,0.005445878037401206,0.003930375209964768,1.2818760264536112e-06,0.003928897685455949,0.003931190765067647,0.4861238182372674,0.004395710675632681,0.48215919487648673,0.4908508691674291,0.5028972247636475,0.003183991006072197,0.5007624275693809,0.5065568770966759,0.5165142276422764,0.027548196323213314,0.4969512195121951,0.5480182926829268,0.49110501169055604,0.002592313533446142,0.4885025922537359,0.4936870997255261,-0.008003661647856446,0.007944804233425735,-0.016627326082365123,-0.0009818067188518726,0.1648840031685629,0.43686924153888546,-0.3075522289697678,0.5542613146030867,0.30484713212455933,0.7206519744900265,-0.46165815815657685,0.9686198270203047,-0.1430726040451494,0.05907545896611242,-0.20576562250721508,-0.08844307677213692,0.04717551178964641,0.11980026177313532,-0.0812284848886975,0.1559467029494499,1093.0,0.0,1093,1093,6558.0,0.0,6558,6558
all_test,oursmain,core6,10,0.005461357454494356,6.450811345460082e-06,0.005455273541022488,0.005468121301162144,0.003944714001470648,1.409159132405078e-05,0.003934796611409623,0.003960844400794918,0.5117413845684661,0.00634053762924422,0.5044220799024093,0.5155535224153706,0.5240418826878113,0.008718829579095888,0.5144861238182372,0.5315645013723697,0.5241361788617886,0.019166340663152752,0.5091463414634146,0.5457317073170732,0.5108671342889092,0.001799415211684485,0.5090576395242452,0.512656297651723,0.04033888443715292,0.0047982676333422165,0.03518340881480926,0.04467422732676095,0.4863666773734938,0.5053852049785409,0.0055965808690618,1.013211655007711,0.6986334696038138,0.7404484208863824,0.007509239359452399,1.4801133955229284,-0.12703286627030744,0.037577861732523074,-0.163507965039571,-0.08844166685139498,0.13827899042462377,0.14297480384398928,0.0017057426941846643,0.2868937260409439,1093.0,0.0,1093,1093,6558.0,0.0,6558,6558
commodity_shock,foundation_relational,core6,10,0.005911932146603307,1.6841835501169667e-05,0.00590035710723905,0.005931253374972834,0.004233229680299964,7.466044779271109e-06,0.004227193072144576,0.0042415782138408055,0.4962859795728876,0.007010059828477933,0.48885793871866295,0.5027855153203342,0.5035592695759826,0.015095943544731946,0.48653667595171773,0.5153203342618384,0.5119876256767207,0.04311634915627644,0.46403712296983757,0.5475638051044084,0.4947694212318168,0.010254553210710655,0.48597957288765087,0.5060352831940576,-0.0024274982313374355,0.020268505578323267,-0.02262947826823344,0.017906884202148837,0.8073047750812221,0.64468996786782,0.07811856843905175,1.3016698387847885,1.430391464557182,1.108128568277816,0.15101900186450648,2.088879294537705,-0.07568358736655985,0.04890184800013484,-0.1317252841872687,-0.04167217129361234,0.0778571008598495,0.06129240014743998,0.00821758382153348,0.12360899392979263,359.0,0.0,359,359,2154.0,0.0,2154,2154
commodity_shock,gnn,core6,10,0.0059070091773435725,1.1872940021211545e-05,0.005893773319726855,0.005916721578580273,0.004225216287520604,9.555896295691167e-06,0.004214236126790786,0.004231650934862772,0.5024760136180749,0.014454094000415496,0.48885793871866295,0.5176415970287837,0.5044877746827607,0.019126604216007856,0.48653667595171773,0.5246053853296193,0.49497293116782676,0.029010053106745624,0.4617169373549884,0.5150812064965197,0.4993500464252553,0.005027664390224988,0.4958217270194986,0.5051067780872794,0.011230409942428,0.015630791006587735,0.0001861834015402589,0.029115387871873327,0.4218317304001958,0.4776365578540272,-0.1289407677479507,0.7221964274120596,0.6747826201846515,0.7479472621194062,-0.18876373966997523,1.1184246753022813,-0.062182265842542016,0.021423669995683937,-0.07889626073847467,-0.03803111070737941,0.04035208152132933,0.0460235420884228,-0.012782477078417287,0.06775926448972314,359.0,0.0,359,359,2154.0,0.0,2154,2154
commodity_shock,gru,core6,10,0.0059077212186227634,2.73349154397082e-06,0.005905030313853943,0.005910495394096094,0.004226709517997242,9.09521029397494e-06,0.004219435971385568,0.0042369071212854425,0.5017022593624265,0.015017212682089907,0.48978644382544106,0.5185701021355618,0.5094398019189105,0.01640942883542128,0.4986072423398329,0.5283194057567316,0.4911059551430781,0.029923499028852423,0.46635730858468677,0.5243619489559165,0.4963169297431136,0.004091045903276549,0.4921077065923863,0.5002785515320334,0.003939393929426579,0.016941722726976246,-0.015519299641862315,0.015412702392331605,0.3345314546454982,0.4089078204120532,0.004996291290467891,0.7921480378213386,0.5525003990302958,0.695513212018717,0.006694770289559378,1.3356098282331157,-0.09962409900860318,0.015428512909166648,-0.11566855161800049,-0.08489585555980739,0.033983650076000536,0.04222196503569743,0.0004885297071268724,0.0814110410142348,359.0,0.0,359,359,2154.0,0.0,2154,2154
commodity_shock,lstm,core6,10,0.005919472472775834,2.7216198551963626e-05,0.005893844900204345,0.005948038786055356,0.004236407712750325,1.2780448635948383e-05,0.004222553102219972,0.004247736971289366,0.48700092850510673,0.014294154427428629,0.4712163416898793,0.4990714948932219,0.49025069637883006,0.009826374414353183,0.479108635097493,0.4976787372330548,0.46790409899458624,0.002679119578606168,0.46635730858468677,0.4709976798143852,0.48226555246053854,0.0009826374414353412,0.4811513463324048,0.483008356545961,-0.03259503109749772,0.005872447268003592,-0.03716673298846,-0.02597209665263456,-0.4895557156982502,0.5610128629861,-1.0443492077399688,0.07747626355050428,-0.7651715732470814,0.8911817207656012,-1.6575578553851043,0.12480068181406664,-0.11915238488775988,0.04355628774048135,-0.16444564797666317,-0.0775705892087899,-0.045878119704108634,0.05268912401017394,-0.09709284263999507,0.008170987577159394,359.0,0.0,359,359,2154.0,0.0,2154,2154
