"model","seed","mean_hit","extreme_hit","stress_mean_hit_avg","stress_extreme_hit_avg_q80","rmse_x1e3"
"ARC_FX","21","0.5186642268984446","0.5406940063091482","0.5311437120831172","0.5630406899559715","6.218680492972445"
"MLP","21","0.516651418115279","0.5293375394321767","0.5203199969326411","0.5281938103693479","6.182937581315861"
"Transformer","21","0.5058554437328454","0.5085173501577287","0.5053909200593082","0.5065145753169568","6.25996352350776"
"GNN","21","0.49350411710887465","0.465615141955836","0.4925841602935968","0.48019706165229875","6.191061949553755"
"Corr-LSTM-GAT","21","0.49954254345837146","0.4965299684542587","0.505012671218639","0.5205713940279638","6.181863603130273"
"FXRP","21","0.4737419945105215","0.489589905362776","0.4744124678151341","0.5012077725817775","6.200082513867917"
"ARC_FX","42","0.5130832570905765","0.526813880126183","0.5255891040594175","0.5442418048410503","6.198277827536001"
"MLP","42","0.4979871912168344","0.5091482649842272","0.5045188602176033","0.5185939905326142","6.1781290706978815"
"Transformer","42","0.4952424519670631","0.4630914826498423","0.49782996842001187","0.47557802748547523","6.207656766158014"
"GNN","42","0.4962488563586459","0.5072555205047319","0.4830630663981846","0.48118018104175325","6.196221040054151"
"Corr-LSTM-GAT","42","0.5021957913998171","0.5078864353312302","0.5057010641296905","0.49273147578894516","6.183653139306741"
"FXRP","42","0.472644098810613","0.48643533123028393","0.475775165527939","0.5022287197933822","6.199659650979904"
"ARC_FX","456","0.5161024702653247","0.5110410094637224","0.5251602614247736","0.5246276016176499","6.221188708812441"
"MLP","456","0.5037511436413541","0.5078864353312302","0.4959283307470856","0.5091388712971153","6.184596571488885"
"Transformer","456","0.5096980786825251","0.5053627760252366","0.5138404215326835","0.5033353488584592","6.19095196632547"
"GNN","456","0.4977127172918573","0.4927444794952681","0.5048082393844481","0.506758032242232","6.194026679294159"
"Corr-LSTM-GAT","456","0.492131747483989","0.4832807570977918","0.5022239600984787","0.4880110410231346","6.184411414050833"
"FXRP","456","0.4763037511436414","0.48454258675078865","0.4785237497757875","0.49384644166531144","6.186727697724297"
